local_path,file_size,sha256,provenance_status
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Human_Phalanx_OneArray_MSigDB.v2026.1.Hs.chip,2129415,666ed484bc6e929910e2515a890bce918b50bdc903c00ed790cd881cd1ed867a,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Human_RefSeq_Accession_Extended_MSigDB.v2026.1.Hs.chip,40443818,d3ce6ee32f494ebf83e5de929370c6db8c6c45b33a8ffc8244036a747eecb8b0,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Human_RefSeq_Accession_MSigDB.v2026.1.Hs.chip,29271590,f828f31b50d37e7d657ed3f83f5f05962764de0ff9168224de91db81fac3b1fc,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Human_Seq_Accession_MSigDB.v2026.1.Hs.chip,597067739,52866ea3d0f800c241ae851a44488a8270f11ee2d296158b13f42894f727e70d,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Human_UniProt_IDs_MSigDB.v2026.1.Hs.chip,8707146,5f754fa432537a5d9f6eaf10257c262830ad2746919ad33d3b787e694af635c8,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Macaque_Ensembl_Gene_ID_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1585638,23781870bf2cb93ef90ee2ca105c8009d9f5501ed52ef8bfc9e6962e4cf17b15,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_AFFY_MG_U74_Human_Orthologs_MSigDB.v2026.1.Hs.chip,1945811,c0371353fc267fe8ada8edc122aafb5a72f1e1825e8ba7da37c08b062a58eb88,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_AFFY_MoGene_Human_Orthologs_MSigDB.v2026.1.Hs.chip,3857058,17e4f64af1313616b1c4aa0495afba86040ab876f45b5f2863b2bb98fda2d537,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_AFFY_Mouse430_Human_Orthologs_MSigDB.v2026.1.Hs.chip,2743832,05f97c45fd8da76aaa076df06ca91d7146996bfbf9a15431d4320fba0ba4f97d,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_AFFY_Mu11K_Human_Orthologs_MSigDB.v2026.1.Hs.chip,784535,ed1f8a540f501d00f91c01e745f4cd6a99aff4460c668789f4d7313c4325065e,unverified
data/raw/pathway/msigdb_v2026.1.Hs_chip_files_to_download_locally/Mouse_AGILENT_Array_Human_Orthologs_MSigDB.v2026.1.Hs.chip,4085809,ffc2b1eaba0fd1e8b1efb0c66809a80a2bdf8afdaedf8b70e64a9b26f65c4c51,unverified
